Refcodes,Delta_conformational_energy(kJ/mol),components
CACKOJ01_CACKOJ03,6.375501650051433,2_1
CACKOJ01_CACKOJ,7.054797264563149,1_2
CACKOJ03_CACKOJ,13.430220149850584,1_2
CAFCUK01_CAFCUK,36.890559185312895,1_1
CAFNUU01_CAFNUU,3.3697504852348175,1_1
CAFPEG01_CAFPEG,0.4978210556146223,1_1
CAPLEK02_CAPLEK,1.0345782751787738,1_1
CEJGAC01_CEJGAC,11.765259324860494,1_1
CEJREP01_CEJREP,0.02362950023882604,1_1
CEKJAD01_CEKJAD,10.32173316942476,1_1
CEKJIL01_CEKJIL,23.958065571987106,1_1
CEKPUG01_CEKPUG,0.1585802004353809,1_1
CELBEA01_CELBEA02,25.37417100498226,1_1
CELBEA01_CELBEA,25.374223515023914,1_1
CELBEA02_CELBEA,5.2510041655295936e-05,1_1
CELHIL01_CELHIL,0.016041804890846834,1_1
CENRIW01_CENRIW02,1.5875348303557075,1_1
CENRIW01_CENRIW,0.00010502008331059187,1_1
CENRIW02_CENRIW,1.587429810272397,1_1
CERBEG01_CERBEG,3.571528036724146,1_1
CEVKUM01_CEVKUM,3.7098918863449626,1_1
CEVWAC01_CEVWAC,3.508878355633385,1_1
CEWGAM01_CEWGAM,2.625472234285553e-06,1_1
CEZDOC01_CEZDOC,1.9864270447993135,1_2
CHIPTH01_CHIPTH,25.046167289762707,1_1
CICYOD01_CICYOD,2.6255020827647968e-05,1_2
CIMETD01_CIMETD04,21.505181695396004,1_2
CIMETD01_CIMETD,21.48233984458807,1_1
CIMETD04_CIMETD,42.98752153998407,2_1
CINYEE01_CINYEE,6.520639289971541,1_1
CISRAA01_CISRAA,2.625472234285553e-05,1_1
CIWMUS01_CIWMUS,5.408162430380457,1_1
CIZDUK01_CIZDUK02,7.876416702856659e-06,1_1
CLMNCY01_CLMNCY,2.648446870232192,1_1
COLDOX01_COLDOX,3.760456390989816,1_1
COPLAV01_COPLAV,7.63692312549324,1_1
CORDCP01_CORDCP,6.5345780695148505,1_1
COWSIR01_COWSIR,0.03751839461574491,1_1
COYLAF01_COYLAF,0.011893515181895964,1_2
CUKJEY01_CUKJEY,1.0762082028921895,1_2
CUMTAF01_CUMTAF,13.345810325048774,1_1
CUMVIP01_CUMVIP,16.701461874546112,1_1
CUNKAY01_CUNKAY02,2.888049306193352e-05,1_1
CUNKAY01_CUNKAY,0.03658896819177926,1_2
CUNKAY02_CUNKAY,0.03661784868484119,1_2
CUPQUB01_CUPQUB,0.0007823990833912831,1_1
CUPREM01_CUPREM02,0.015910530085193386,1_1
CUPREM01_CUPREM,0.015910530085193386,1_1
CUPREM02_CUPREM,0.0,1_1
CUTCUQ01_CUTCUQ02,0.12996225011960405,1_1
CYVINC01_CYVINC,3.938238199907573e-05,1_1
DACMOR01_DACMOR,6.006408860368424,1_1
DADDER04_DADDER05,0.0008847936944675894,1_2
DADDER04_DADDER,8.926695142008612e-05,1_1
DADDER05_DADDER,0.000892670111170446,2_2
DADTEH02_DADTEH03,0.18890472471707653,1_1
DAHMII01_DAHMII,12.910817485024722,1_1
DAKXUI01_DAKXUI03,3.9488832755814656,1_1
DAKXUI01_DAKXUI,0.578870239541402,1_1
DAKXUI03_DAKXUI,4.527753515122868,1_1
DANQEP01_DANQEP02,3.493752850402302,1_2
DANQEP01_DANQEP,1.1233989404947806,1_1
DANQEP02_DANQEP,2.3703539099075215,2_1
DARWAU01_DARWAU,20.864803866528177,1_1
DASPAO01_DASPAO,3.442844405014455,2_1
DAVVUR01_DAVVUR,0.044423460019174854,1_1
DAXSOM01_DAXSOM,0.3004097095221141,1_1
DAXTIH01_DAXTIH,0.00043058192369471726,1_1
DBXZCP01_DBXZCP,0.00011027102777916298,1_1
DCLMAN01_DCLMAN,0.000446335055585223,1_1
DCLNAP01_DCLNAP02,0.000997690194481038,2_2
DEDMUX01_DEDMUX02,1.016619854662963,1_1
DEDMUX01_DEDMUX,2.6255319312440406e-05,1_1
DEDMUX02_DEDMUX,1.0166461099822754,1_1
DEFZEV01_DEFZEV,0.00010502008331059187,1_1
DEHREN01_DEHREN,4.397491957885222,1_1
DEKDIG01_DEKDIG,2.768484729941065,1_1
DEWCAK01_DEWCAK,3.852002324542582,1_1
DEXVEH01_DEXVEH,1.8583026449437057,1_1
DICNIM01_DICNIM,0.10071417990093323,1_1
DIFVET01_DIFVET02,5.024813175431973,1_1
DIFVET01_DIFVET,5.024813175431973,1_1
DIFVET02_DIFVET,0.0,1_1
DILYEC01_DILYEC,2.625472234285553e-05,1_1
DIVGOH01_DIVGOH,4.3609554994366135,1_1
DIXBIW01_DIXBIW,0.00026254990979168724,1_1
DIZCOH01_DIZCOH,8.139053471722946e-05,1_1
DMFUSC03_DMFUSC04,4.725879870193239e-05,1_1
DOHBOC01_DOHBOC,0.01360009004326912,1_1
DOLJET01_DOLJET,0.08858436983007323,1_1
DONTIJ03_DONTIJ,14.832289659934304,1_1
DOPPOP01_DOPPOP,2.625472234285553e-05,1_1
DOQNAY01_DOQNAY,3.25212808505421,1_1
DORDUM01_DORDUM02,11.974222870565654,1_1
DORDUM01_DORDUM03,11.97427538001034,1_1
DORDUM01_DORDUM04,11.97427538001034,1_1
DORDUM01_DORDUM05,11.97427538001034,1_1
DORDUM01_DORDUM06,11.974222870565654,1_1
DORDUM01_DORDUM07,0.0,1_1
DORDUM01_DORDUM09,2.625472234285553e-05,1_1
DORDUM01_DORDUM10,23.731526930383552,1_1
DORDUM02_DORDUM03,3.7411799696820935,2_1
DORDUM02_DORDUM04,3.7411799696820935,2_1
DORDUM02_DORDUM05,3.7411799696820935,2_1
DORDUM02_DORDUM06,3.741127460237408,2_1
DORDUM02_DORDUM07,11.974222870565654,1_1
DORDUM02_DORDUM09,11.974249125287997,1_1
DORDUM02_DORDUM10,15.498431520055306,2_1
DORDUM03_DORDUM04,0.0,1_1
DORDUM03_DORDUM05,0.0,1_1
DORDUM03_DORDUM06,5.250944468571106e-05,1_1
DORDUM03_DORDUM07,11.97427538001034,1_1
DORDUM03_DORDUM09,11.974301634732683,1_1
DORDUM03_DORDUM10,11.757251550373212,1_1
DORDUM04_DORDUM05,0.0,1_1
DORDUM04_DORDUM06,5.250944468571106e-05,1_1
DORDUM04_DORDUM07,11.97427538001034,1_1
DORDUM04_DORDUM09,11.974301634732683,1_1
DORDUM04_DORDUM10,11.757251550373212,1_1
DORDUM05_DORDUM06,5.250944468571106e-05,1_1
DORDUM05_DORDUM07,11.97427538001034,1_1
DORDUM05_DORDUM09,11.974301634732683,1_1
DORDUM05_DORDUM10,11.757251550373212,1_1
DORDUM06_DORDUM07,11.974222870565654,1_1
DORDUM06_DORDUM09,11.974249125287997,1_1
DORDUM06_DORDUM10,11.757304059817898,1_1
DORDUM07_DORDUM09,2.625472234285553e-05,1_1
DORDUM07_DORDUM10,23.731526930383552,1_1
DORDUM09_DORDUM10,23.731553185105895,1_1
DOZYAS01_DOZYAS,8.783899054991252,1_1
DPOBCO01_DPOBCO,4.340943939038141,1_1
DUMVAJ01_DUMVAJ,0.10974589990200911,1_1
DUNNIJ01_DUNNIJ,16.649818290067515,1_1
DUNWOZ01_DUNWOZ,0.0,1_1
DUVZOJ02_DUVZOJ03,0.9654567366774813,2_2
