filename,energy
AMEXOH01_m_1_gas_R,-977.427790153
AMEXOH01_m_1_gas_xR,-977.43732587
AMEXOH01_m_1_water_R,-977.459736168
AMEXOH01_m_1_water_xR,-977.466441837
AMEXOH_m_1_gas_R,-977.430378642
AMEXOH_m_1_gas_xR,-977.433048167
AMEXOH_m_1_water_R,-977.460745287
AMEXOH_m_1_water_xR,-977.462829189
AMOCMS10_m_1_gas_R,-1682.65508064
AMOCMS10_m_1_gas_xR,-1682.65670221
AMOCMS10_m_1_water_R,-1682.6899529
AMOCMS10_m_1_water_xR,-1682.6914575
AMOCMS11_m_1_gas_R,-1682.66269786
AMOCMS11_m_1_gas_xR,-1682.66332149
AMOCMS11_m_1_water_R,-1682.69324487
AMOCMS11_m_1_water_xR,-1682.69351694
AMOCMS11_m_2_gas_R,-1682.66230824
AMOCMS11_m_2_gas_xR,-1682.66332149
AMOCMS11_m_2_water_R,-1682.6918083
AMOCMS11_m_2_water_xR,-1682.69296014
AMUBIV02_m_1_gas_R,-959.800476085
AMUBIV02_m_1_gas_xR,-959.800687022
AMUBIV02_m_1_water_R,-959.813529215
AMUBIV02_m_1_water_xR,-959.813667894
AMUBIV_m_1_gas_R,-959.800527133
AMUBIV_m_1_gas_xR,-959.800687009
AMUBIV_m_1_water_R,-959.813627272
AMUBIV_m_1_water_xR,-959.813667883
ANISAZ05_m_1_gas_R,-878.898983751
ANISAZ05_m_1_gas_xR,-878.899371977
ANISAZ05_m_1_water_R,-878.913708457
ANISAZ05_m_1_water_xR,-878.914012998
ANISAZ05_m_2_gas_R,-878.898556782
ANISAZ05_m_2_gas_xR,-878.898995381
ANISAZ05_m_2_water_R,-878.913162418
ANISAZ05_m_2_water_xR,-878.913523404
ANISAZ07_m_1_gas_R,-878.898726865
ANISAZ07_m_1_gas_xR,-878.899010963
ANISAZ07_m_1_water_R,-878.913257232
ANISAZ07_m_1_water_xR,-878.913512263
ANONEX01_m_1_gas_R,-1368.97705637
ANONEX01_m_1_gas_xR,-1368.97837359
ANONEX01_m_1_water_R,-1369.01848884
ANONEX01_m_1_water_xR,-1369.01976012
ANONEX01_m_2_gas_R,-1368.97663962
ANONEX01_m_2_gas_xR,-1368.97688424
ANONEX01_m_2_water_R,-1369.01785875
ANONEX01_m_2_water_xR,-1369.01832558
ANONEX02_m_1_gas_R,-1368.97225415
ANONEX02_m_1_gas_xR,-1368.97603764
ANONEX02_m_1_water_R,-1369.01556519
ANONEX02_m_1_water_xR,-1369.01778609
ANONEX02_m_2_gas_R,-1368.9759496
ANONEX02_m_2_gas_xR,-1368.97763167
ANONEX02_m_2_water_R,-1369.01801987
ANONEX02_m_2_water_xR,-1369.01929579
ANONEX_m_1_gas_R,-1368.97530391
ANONEX_m_1_gas_xR,-1368.97837363
ANONEX_m_1_water_R,-1369.01686971
ANONEX_m_1_water_xR,-1369.01976014
ANONEX_m_2_gas_R,-1368.97628147
ANONEX_m_2_gas_xR,-1368.97688424
ANONEX_m_2_water_R,-1369.01765927
ANONEX_m_2_water_xR,-1369.01832582
ANUKAW01_m_1_gas_R,-1224.64695008
ANUKAW01_m_1_gas_xR,-1224.64703685
ANUKAW01_m_1_water_R,-1224.67080806
ANUKAW01_m_1_water_xR,-1224.67096128
ANUKAW_m_1_gas_R,-1224.64701575
ANUKAW_m_1_gas_xR,-1224.64703685
ANUKAW_m_1_water_R,-1224.67097007
ANUKAW_m_1_water_xR,-1224.67097252
APGPAL01_m_1_gas_R,-1239.76693248
APGPAL01_m_1_gas_xR,-1239.78485074
