Refcodes,Delta_strain_energy,components
CACKOJ01_CACKOJ03,0.048598005047438164,2_1
CAFCUK_CAFCUK01,23.77458512991666,1_2
CAFNUU_CAFNUU01,3.2719768652787025,1_1
CAFPEG_CAFPEG01,4.121142329630175,1_1
CAPLEK_CAPLEK02,3.6125829803470424,1_1
CEJGAC_CEJGAC01,8.46398188021692,1_1
CEJREP_CEJREP01,2.8774429804121837,1_1
CEKJAD_CEKJAD01,27.81669990953742,1_1
CEKJIL_CEKJIL01,3.6213810306329037,1_1
CEKPUG_CEKPUG01,2.122769259308825,1_1
CELBEA_CELBEA01,0.3123294800233225,1_1
CELBEA_CELBEA02,0.16369992501950037,1_1
CELBEA01_CELBEA02,0.14862955500382213,1_1
CELHIL_CELHIL01,1.3959783500274625,1_1
CENRIW_CENRIW01,0.5553982706214811,1_1
CENRIW_CENRIW02,0.5232358948818501,1_1
CENRIW01_CENRIW02,0.03216237573963099,1_1
CERBEG_CERBEG01,2.7185109628171062,1_1
CEVKUM_CEVKUM01,0.9059734082330806,1_1
CEVWAC_CEVWAC01,0.061717628299106764,2_1
CEWGAM_CEWGAM01,1.892355379795049,1_1
CEZDOC_CEZDOC01,5.512736095358207,2_1
CHIPTH_CHIPTH01,2.4901292200050875,2_1
CICYOD_CICYOD01,2.5474937696715756,2_1
CIMETD_CIMETD01,3.197570195353137,1_1
CIMETD_CIMETD04,0.8290016244740173,1_3
CIMETD01_CIMETD04,4.026571819827154,1_3
CINYEE_CINYEE01,0.0,1_1
CISRAA_CISRAA01,1.6144462043176873,1_1
CIWMUS_CIWMUS01,0.007351400459015167,1_1
CIZDUK01_CIZDUK02,1.9168224146311559,1_1
CLMNCY_CLMNCY01,2.2287344397934703,1_1
COLDOX_COLDOX01,8.57443929055654,1_1
COPLAV_COPLAV01,6.925885215575136,1_1
CORDCP_CORDCP01,4.107552741774327,1_1
COWSIR_COWSIR01,3.3665998857203476,1_1
COYLAF_COYLAF01,6.061701890055701,1_1
CUKJEY_CUKJEY01,2.671511887672466,1_1
CUMTAF_CUMTAF01,0.676171269719589,1_1
CUMVIP_CUMVIP01,8.739055516429744,1_1
CUNKAY_CUNKAY01,4.049752359538161,2_1
CUNKAY_CUNKAY02,6.360037455021825,2_1
CUNKAY01_CUNKAY02,2.310285095483664,1_1
CUPQUB_CUPQUB01,7.851927945192813,1_1
CUPREM_CUPREM01,0.5191663699368974,1_1
CUPREM_CUPREM02,3.9867954952111404,1_1
CUPREM01_CUPREM02,4.505961865148038,1_1
CUTCUQ01_CUTCUQ02,0.1884058799183208,1_1
CYVINC_CYVINC01,0.3182946159199105,1_1
DACMOR_DACMOR01,7.72892064444909,1_2
DADDER_DADDER04,0.0037807197158485906,2_2
DADDER_DADDER05,0.004240182431090034,2_3
DADDER04_DADDER05,0.0004594627152414432,2_3
DADTEH02_DADTEH03,0.13681480458592432,1_1
DAHMII_DAHMII01,3.152674145556034,1_2
DAKXUI_DAKXUI01,3.472407534886088,1_1
DAKXUI_DAKXUI03,8.036918049319183,1_1
DAKXUI01_DAKXUI03,4.5645105144330955,1_1
DANQEP_DANQEP01,3.1947609096170027,1_1
DANQEP_DANQEP02,6.522713435124501,1_2
DANQEP01_DANQEP02,3.3279525255074986,1_2
DARWAU_DARWAU01,22.65918871415863,2_1
DASPAO_DASPAO01,2.9803757073344173,1_2
DAVVUR_DAVVUR01,1.3514236146056646,1_1
DAXSOM_DAXSOM01,0.9716712954211744,1_1
DAXTIH_DAXTIH01,0.32484786416364386,1_1
DBXZCP_DBXZCP01,0.8291145215710003,1_1
DCLMAN_DCLMAN01,0.026753845030953016,1_1
DCLNAP01_DCLNAP02,0.00021003956965159887,1_2
DEDMUX_DEDMUX01,0.8937202003702396,1_1
DEDMUX_DEDMUX02,1.6693979196296596,1_1
DEDMUX01_DEDMUX02,0.77567771925942,1_1
DEFZEV_DEFZEV01,1.786180159740752,1_1
DEHREN_DEHREN01,15.386616725944805,1_1
DEKDIG_DEKDIG01,2.6772223497774803,1_1
DEWCAK_DEWCAK01,1.564115369686533,1_1
DEXVEH_DEXVEH01,2.228445634862851,1_1
DICNIM_DICNIM01,1.2899081500564762,1_1
DIFVET_DIFVET01,1.7252423044558327,1_1
DIFVET_DIFVET02,2.2706899302427246,1_1
DIFVET01_DIFVET02,0.5454476257868919,1_1
DILYEC_DILYEC01,0.8848197551748171,1_1
DIVGOH_DIVGOH01,1.9986093664042528,1_1
DIXBIW_DIXBIW01,2.5890580599821647,1_1
DIZCOH_DIZCOH01,0.339915608408603,1_1
DMFUSC03_DMFUSC04,0.8054666430265343,1_1
DOHBOC_DOHBOC01,6.1236899449797875,1_1
DOLJET_DOLJET01,6.281797555040271,1_1
DONTIJ_DONTIJ03,4.1241616549359605,1_1
