Refcodes,Delta_conformational_energy(kJ/mol),components
CABCUD06_CABCUD34,0.8012238351232099,1_1
CACKOJ01_CACKOJ03,7.152649649880232,1_1
CACKOJ01_CACKOJ,0.1842313351885423,2_2
CACKOJ03_CACKOJ,7.335935804915948,1_2
CAFCUK01_CAFCUK,32.155890014915485,1_1
CAFNUU01_CAFNUU,6.466396459326461,1_1
CAFPEG01_CAFPEG,5.260110484043935,1_1
CAPLEK02_CAPLEK,0.18599041949460116,1_1
CEJGAC01_CEJGAC,10.99711678971346,1_1
CEJREP01_CEJREP,0.06978579043868649,1_1
CEKJAD01_CEKJAD,2.6341116402027183,1_1
CEKJIL01_CEKJIL,4.223699611038057,1_1
CEKPUG01_CEKPUG,1.249790509871218,1_1
CELBEA01_CELBEA02,5.170003324796767,1_1
CELBEA01_CELBEA,5.169977070074424,1_1
CELBEA02_CELBEA,2.625472234285553e-05,1_1
CELHIL01_CELHIL,3.7558040046421866,1_1
CENRIW01_CENRIW02,1.2098041444916134,1_1
CENRIW01_CENRIW,0.0005513551388958149,1_1
CENRIW02_CENRIW,1.2103554996305093,1_1
CERBEG01_CERBEG,1.4005414691251872,1_1
CEVKUM01_CEVKUM,0.041275485678454515,1_1
CEVWAC01_CEVWAC,3.906066620986337,1_1
CEWGAM01_CEWGAM,0.009247010813680845,1_1
CEZDOC01_CEZDOC,0.10024158982452036,1_2
CHIPTH01_CHIPTH,0.00021004016662118374,1_2
CICYOD01_CICYOD,7.351381952958036e-05,1_2
CIMETD01_CIMETD04,15.48939980005423,1_1
CIMETD01_CIMETD,4.510661509995884,1_1
CIMETD04_CIMETD,20.000061310050114,1_1
CINYEE01_CINYEE,1.5258618350845836,1_1
CISRAA01_CISRAA,5.250944468571106e-05,1_1
CIWMUS01_CIWMUS,3.990523704586849,1_1
CIZDUK01_CIZDUK02,7.35141180143728e-05,1_1
CLMNCY01_CLMNCY,1.188406320127683,1_1
COLDOX01_COLDOX,2.68797639777182,1_1
COPLAV01_COPLAV,0.1338742446411061,1_1
CORDCP01_CORDCP,2.761495648829168,1_1
COWSIR01_COWSIR,0.3051356102862428,1_1
COYLAF01_COYLAF,0.10011031472038212,1_1
CUKJEY01_CUKJEY,1.429057024531403,1_1
CUMTAF01_CUMTAF,8.157507264763922,1_1
CUMVIP01_CUMVIP,1.258060834566777,1_1
CUNKAY01_CUNKAY02,0.006198805611802527,1_1
CUNKAY01_CUNKAY,0.008779671980221337,1_2
CUNKAY02_CUNKAY,0.014978477592023864,1_2
