Refcodes,Delta_strain_energy,components
CACKOJ01_CACKOJ03,7.797393685040333,1_1
CAFCUK_CAFCUK01,10.970651749613126,1_2
CAFNUU_CAFNUU01,3.1089595702037514,1_1
CAFPEG_CAFPEG01,0.32606084606618424,1_1
CAPLEK_CAPLEK02,1.70925301139755,1_1
CEJGAC_CEJGAC01,2.413307090551257,1_1
CEJREP_CEJREP01,2.1245020894895106,1_1
CEKJAD_CEKJAD01,23.619155529592717,1_1
CEKJIL_CEKJIL01,0.06950486132780043,1_1
CEKPUG_CEKPUG01,3.772344654630274,1_1
CELBEA_CELBEA01,0.03804349503229787,1_1
CELBEA_CELBEA02,0.7284712300173624,1_1
CELBEA01_CELBEA02,0.6904277349850645,1_1
CELHIL_CELHIL01,3.100374184661291,1_1
CENRIW_CENRIW01,0.257062705058388,1_1
CENRIW_CENRIW02,0.36767501975225514,1_1
CENRIW01_CENRIW02,0.6247377248106432,1_1
CERBEG_CERBEG01,0.6684759291145497,1_1
CEVKUM_CEVKUM01,2.7493579623416053,1_1
CEVWAC_CEVWAC01,0.7137605532795988,2_1
CEWGAM_CEWGAM01,1.7967582996029705,1_1
CEZDOC_CEZDOC01,5.1700820901577345,2_1
CHIPTH_CHIPTH01,0.23361698966687072,2_1
CICYOD_CICYOD01,4.968932032800581,2_1
CIMETD_CIMETD01,2.1842059602879544,1_1
CIMETD_CIMETD04,5.393879709795669,1_2
CIMETD01_CIMETD04,7.578085670083624,1_2
CINYEE_CINYEE01,0.008427854820524772,1_1
CISRAA_CISRAA01,1.740785264249439,1_1
CIWMUS_CIWMUS01,2.8098888646544538,1_1
CIZDUK01_CIZDUK02,0.48161384358513715,1_1
CLMNCY_CLMNCY01,2.1048108399869534,1_1
COLDOX_COLDOX01,5.381224800203711,1_1
COPLAV_COPLAV01,4.602632774826361,1_1
CORDCP_CORDCP01,2.7763034692335395,1_1
COWSIR_COWSIR01,2.6131601502974036,1_1
COYLAF_COYLAF01,4.207521280098604,1_1
CUKJEY_CUKJEY01,2.9010777309985087,1_1
CUMTAF_CUMTAF01,0.4741390447371714,1_1
CUMVIP_CUMVIP01,2.62791546006315,1_1
CUNKAY_CUNKAY01,3.143209217263575,2_1
CUNKAY_CUNKAY02,4.67459247895988,2_1
CUNKAY01_CUNKAY02,1.5313832616963055,1_1
CUPQUB_CUPQUB01,6.095568214885986,1_1
CUPREM_CUPREM01,0.07823989998155412,1_1
CUPREM_CUPREM02,2.826088200267236,1_1
CUPREM01_CUPREM02,2.90432810024879,1_1
CUTCUQ01_CUTCUQ02,0.4335488147739852,1_1
CYVINC_CYVINC01,0.7562910278193726,1_1
DACMOR_DACMOR01,6.35082195017344,1_1
DADDER_DADDER04,7.87650624829439e-05,2_1
DADDER_DADDER05,0.05733304340270706,2_3
DADDER04_DADDER05,0.05725427834022412,1_3
DADTEH02_DADTEH03,0.4213664952584395,1_1
DAHMII_DAHMII01,3.563564894966362,1_2
DAKXUI_DAKXUI01,1.4625085208683686,1_1
DAKXUI_DAKXUI03,3.5734892856755778,1_1
DAKXUI01_DAKXUI03,2.110980764807209,1_1
DANQEP_DANQEP01,4.405221430524762,1_1
DANQEP_DANQEP02,7.571994510624336,1_2
DANQEP01_DANQEP02,3.166773080099574,1_2
DARWAU_DARWAU01,26.99273924518201,2_1
DASPAO_DASPAO01,2.4817880063652638,1_2
DAVVUR_DAVVUR01,1.2427541702591043,1_1
DAXSOM_DAXSOM01,1.153434659845857,1_1
DAXTIH_DAXTIH01,0.45873523646440617,1_1
DBXZCP_DBXZCP01,0.9327955164375794,1_1
DCLMAN_DCLMAN01,0.011368414765343005,1_1
DCLNAP01_DCLNAP02,0.0012602392088183478,2_2
DEDMUX_DEDMUX01,0.8203112200421856,1_1
DEDMUX_DEDMUX02,0.2916405397293147,1_1
DEDMUX01_DEDMUX02,1.1119517597715003,1_1
