Refcode,Del_conformational_energy(kJ/mol),Del_strain_energy(kJ/mol),Del_rugosity
RALMOG,-2.7523904150085627,-2.165748694674903,-0.03
AMBNAC,-0.003069209576722187,-0.5840477260070998,0.03
ACSALA,-0.0023603243128604845,-0.2332520457429723,0.051
VUSDIX,4.285367355066228,3.499161379917041,0.055
NUWTIJ,1.6780883240614912,1.4331029214201862,0.056
HXACAN,-2.888049306193352e-05,-1.0730208461694701,0.063
CBMZPN,-0.11309078704817921,1.2447154186135663,0.068
BAPLOT,-1.142982544441793,2.3905124988405078,0.136
YIGPIO,9.526889299885397,-19.776631260106797,0.151
